"T1","T2","T3","T4"
8,9.97,14,15.81
11.5,11,10.12,9.56
11,11,11.75,17.75
18,18,8,6.38
19.67,17.86,18.13,26.12
8.25,11,8.38,15.25
9,12,11.5,9
11.25,10.75,11.25,10
14.7,12.6,18.02,9.45
8,20.83,15.16,12.62
10.4,9.44,6.25,10.17
13,23.69,26.5,14.8
10.93,8,24.66,15.56
8,8.88,9.75,8.75
33.38,20,23,30
9,18,8.75,10
6,13.25,9,17
16,15.43,17.08,19.5
11.5,21,8.83,15.75
8.88,10.19,6.38,4.75
7,38.25,23.25,29
16.75,18.58,10.8,12.75
10.75,34.5,8.25,30.75
15.59,17.5,8.68,12.8
6,13,16.19,15.69
7.27,8.26,9.85,6.29
24.88,22.5,23.32,35.85
12.07,8.17,12,14.08
9,9,10,9
4,11,10.75,17.57
10,10,10,10
17.19,12.43,15.6,16.62
27.7,23.04,20.77,25.28
19.67,19.5,45.75,26.5
8,7.75,6.94,6.64
12,12,19.25,12
19.5,12,24,24
11.88,1.75,14.62,10.23
11,11,11.45,11.75
22.5,16.5,17.67,18.88
38,42.05,56.23,38.19
11.5,11.2,11.19,11.58
14,8,13.29,19.5
14.8,14,18.31,18.2
10,11,15.75,11.75
13.34,14.72,9.75,13.14
12,12,12.25,12.75
27.54,31.93,20.11,18.82
14.72,17.5,14.75,15.25
4.5,4.5,5.5,6.5
13.5,8,16,8.75
11,8,7.5,8.75
10.04,11,2,1.5
8,8,11.88,9.25
12.08,9.43,5.69,5.38
13.11,12.93,13.7,14
16.5,11,23.5,11.75
9.5,9.03,9.65,10.55
9.12,18,15,14
13,11.17,18.54,15.2
15.33,27.06,35.05,8.81
19.04,14.38,36.38,23
13.62,8.6,13.46,13.55
8.92,16.4,9.65,10.33
13.25,11.71,16.5,17.62
11,10,10.75,12.42
11.83,12.5,12.4,15.28
24.83,11,15.42,15.5
8.21,18.07,15.92,15.67
9.67,9.65,9.23,5.83
10.62,23.5,15.88,20.69
8,8,8,8.75
9,12,19,9
24.72,17.32,24.05,26.83
22.76,21.82,17.7,18.82
9,12,9,9
11.06,13.71,13.47,14.35
6,5.28,6,6
17.25,10.46,6.75,9.25
